"name","type","location","id","average_score","date_score","friend_score","family_score"
미미옥 강남 신논현점,한식,서울 강남구 봉은사로4길 24 1층,41,7.910526315789474,7.818181818181818,8.136666666666667,8.549999999999999
묵정,한식,서울 중구 퇴계로48길 17 1층,42,8.5,,8.5,
"8nrm 팔도강산버거",햄버거,서울 마포구 성미산로27길 71 1층,43,8.035353535353535,7.535714285714286,8.153846153846153,8.5
티엔미미 강남점,"딤섬,중식만두","서울 서초구 사임당로 143 104-1, 104-2, 104-3호",44,7.682,7.2439024390243905,7.721621621621622,8.346153846153847
에빗,양식,서울 강남구 도산대로45길 10-5 1층 EVETT,45,7.732608695652174,3.0,8.5,8.5
비채나,한식,서울 송파구 올림픽로 300 롯데월드타워 81층,46,7.821111111111111,7.596153846153846,7.854545454545455,8.024390243902438
친밀 제주,양식,제주 제주시 조천읍 남조로 1781,47,6.98125,7.275,5.4375,7.25
나경버섯,한식,충남 부여군 석성면 비당로109번길 100 나경버섯농가,48,0.0,,,
오팬파이어,양식,제주 제주시 조천읍 남조로 1781 1층,49,6.405263157894737,6.822222222222222,6.111111111111111,6.71875
터치더스카이,양식,서울 영등포구 63로 50 한화금융센터_63,50,8.123711340206185,8.846153846153847,9.0,8.928571428571429
깃든,"육류,고기요리",서울 강북구 월계로7나길 46-5 1층 깃든,51,8.377551020408163,8.553191489361701,8.153846153846153,8.083333333333334
진진,중식당,서울 마포구 월드컵북로1길 60 1층 진진,52,6.739130434782608,7.794117647058823,6.513513513513513,7.472222222222222
쇼니노,양식,서울 용산구 한강대로21길 17-18 1층,53,8.233333333333334,8.434999999999999,8.287037037037036,7.875
이도 용산,한식,"서울 용산구 한강대로50길 14 1층 101호, 102호",54,8.211340206185566,8.589285714285714,8.24468085106383,8.25
Triple bones,한식,서울 송파구 법원로11길 11 문정현대지식산업센터 A동 107호,55,8.149999999999999,8.44,8.510344827586207,8.166666666666666
불끈,"장어,먹장어요리",서울 마포구 토정로35길 11 지1층 B01호,56,7.581521739130435,7.6,7.533333333333333,8.0
제이드앤워터,양식,서울 성동구 한림말3길 29 2층,57,8.111702127659575,7.5,8.25,8.166666666666666
에스콘디도,양식,서울 용산구 한남대로20길 61-7 지하 1층,58,8.7,8.5,8.5,
엘몰리노,"멕시코,남미음식",서울 성동구 서울숲2길 19-18 1층,59,7.002127659574469,7.0,8.264285714285714,8.5
더 시옷,양식,서울 중구 수표로 30 OK빌딩 2층,60,7.508421052631578,7.59375,7.604878048780488,9.0
블그레,와인,서울 강남구 논현로175길 101-4 4층,61,8.589473684210526,8.166666666666666,8.983333333333333,8.5
와일드플라워,양식,서울 서초구 방배로26길 19 1층,62,8.301075268817204,8.151162790697674,8.32258064516129,8.636363636363637
윤서울,한식,서울 강남구 선릉로 805 1층,63,7.723684210526316,8.5,9.0,
가매일식,일식당,광주 서구 상무대로 1104-26,64,5.626315789473685,7.3076923076923075,5.25,7.125
모리노아루요,일식당,제주 제주시 애월읍 하소로 769-58 모리노아루요,65,6.6421052631578945,6.2272727272727275,7.5,7.333333333333333
오쁘띠베르,"카페,디저트",서울 종로구 자하문로 47-1,66,6.950515463917526,7.7894736842105265,7.130434782608695,6.666666666666667
그린볼,양식,강원 강릉시 산양큰길22번길 30 1층,67,8.148717948717948,8.052631578947368,8.32,8.95
리북방,한식,서울 마포구 마포대로1길 16 2층 리북방,68,7.215151515151515,8.166666666666666,6.3,
네기스키야키 압구정점,일식당,서울 강남구 논현로 854 지하1층 네기스키야키,69,7.064285714285714,7.194444444444445,6.996428571428572,8.045454545454545
저저,한식,서울 중구 퇴계로41길 31 . 1층 101호,70,7.1521739130434785,6.2,7.818181818181818,9.5
최씨네 피자,피자,대구 수성구 달구벌대로467길 22-24 1층,71,0.0,,,
팟카파우,태국음식,서울 용산구 신흥로 97-6 신흥시장안 2층,72,7.562765957446809,7.626086956521739,7.578947368421052,9.0
장화,이자카야,경남 양산시 물금읍 증산역로 155 01층 103호,73,8.666666666666666,8.923076923076923,9.05,8.75
야키토리 코치,"일식튀김,꼬치",서울 영등포구 영중로10길 32-4 지하1층,74,7.974489795918367,7.722222222222222,7.954545454545454,8.5
야키토리혼바,일식당,서울 용산구 후암로 79 (3층),75,8.10377358490566,8.75,8.571428571428571,8.5
아오이토리,베이커리,서울 마포구 와우산로29길 8 K.C빌딩,76,6.371134020618556,6.583333333333333,6.25,6.125
후후세이지,이자카야,서울 성북구 정릉로26길 32,77,7.5623376623376615,6.961538461538462,7.25,
야키니쿠세이지 연신내점,"육류,고기요리",서울 은평구 연서로27길 13-6 야키니쿠세이지,78,8.51086956521739,8.45945945945946,8.55,
스낵바세이지 어부bar,이자카야,서울 은평구 연서로25길 20-4 스낵바세이지 어부바,79,8.143434343434343,8.283720930232558,8.011627906976743,8.5
잭잭,햄버거,서울 용산구 회나무로6길 21 1층,80,7.545263157894737,7.9875,7.387096774193548,8.5
소금집델리 성수도원점(폐업),샌드위치,서울 성동구 연무장3길 9 1층,81,6.595890410958904,6.0625,6.576923076923077,6.75
라운지바이블그레,한식,서울 강남구 논현로175길 101-4 5층,82,0.0,,,
띵스버거,햄버거,서울 성동구 고산자로8길 20 1층 띵스버거,83,7.333333333333333,8.5,9.0,
코치,"일식튀김,꼬치",서울 성동구 성덕정17길 11 1층,84,6.899000000000001,8.25,6.968,
방아실 연탄구이,"육류,고기요리",서울 성동구 왕십리로2길 38 1층,85,6.839999999999999,6.546666666666667,7.216666666666667,7.233333333333333
버거보이 성수낙낙점,햄버거,서울 성동구 아차산로17길 48 1층 R113호,86,6.854166666666667,7.305555555555555,6.945945945945946,
